puzzle,category,time,date,scramble,penalty,comment
"333","Normal","20360","1641801054224","F L2 U2 F2 D2 B2 F U2 R2 U2 L U B U2 R D' F L2 D' L'","0",""
"333","Normal","14950","1641801095859","U' F2 U B2 R2 U F2 L2 D R2 D F' D' B' D' L' B' U' R2 F2","0",""
"333","Normal","20210","1641801135796","R' F2 D2 B2 D2 L2 U2 B L' R B' R B2 D' F2 L2 U2 R'","0",""
"333","Normal","24610","1641801186699","U F' D' F U' L U' D2 R' D R2 U2 R2 B L2 B' L2 F'","0",""
"333","Normal","14520","1641801217189","B L' U F' B' R' D2 B' D F2 R F2 U2 B' R2 F U2 D2","0",""
"333","Normal","26830","1641801266417","U2 L D2 F2 R B2 U2 B2 D R D' R' U2 F' R B2 L' U'","0",""
"333","Normal","18330","1641801304957","R F2 R2 D2 U2 R U2 L2 F' D' F D' F L' F2 R2 B2 U B","0",""
"333","Normal","21600","1641801346058","F R2 B D2 R2 B2 L2 U' F' D' U' B F' D2 U2 L' U2 L","0",""
"333","Normal","20240","1641801387221","R2 D2 L2 F2 L2 U2 R2 U' F' R B R2 D' B' D' U2 B D B2","0",""
"333","Normal","22690","1641801427969","L2 F2 U2 F L2 B L2 R2 B2 D2 B' D R' U B' R2 B2 R' B R2 F'","0",""
"333","Normal","23630","1641825175005","R' F' U' F2 B' L' U2 D' R2 F' D2 F2 L D2 F2 R U2 B2 D2 R2 D2","0",""
"333","Normal","14050","1641825240503","U F' U2 F L2 U2 B' U2 F D2 F' U' R B L2 B R F' L2","0",""
"333","Normal","19510","1641825339628","F2 U B2 D2 B2 L2 D R2 U L2 U R F' D B R' D' F2 L' F'","0",""
"333","Normal","21830","1641825378261","B2 L' B2 L2 U2 R' U2 F2 R U R D' U L' F' U2 R' D L'","0",""
"333","Normal","23130","1641825424847","L2 B2 L D2 U2 R2 U2 L' D' B2 L' R2 B' F2 D F U2 B'","0",""
"333","Normal","19250","1641825460058","F2 L2 U R2 D' R2 D' L2 F2 D2 F2 L' D' B U2 R' D B L2 R U2","0",""
"333","Normal","20160","1641825496649","B' U2 B U2 F' U2 L2 R' B' L' F D B' R D2 L2 F2 U'","0",""
"333","Normal","16030","1641825533797","F2 U R2 D2 F2 R2 D B2 F2 D' R2 B L2 R U R' D' B' U' F L","0",""
"333","Normal","18920","1641825569433","U' D' F' L2 F L' B R2 B2 U' B' L2 D2 B2 L2 B' L2 U2 B'","0",""
"333","Normal","24680","1641825612290","U B2 F2 L2 R2 D2 R2 D' F2 L' B' D2 B2 R' F L2 R' U2 F'","0",""
"333","Normal","16050","1641895470330","F2 D B2 F2 L2 U' B2 L2 U L2 U2 L B2 F2 D R' F L' F' D' U'","0",""
"333","Normal","20090","1641895508410","F2 U2 R2 D' F2 U L2 U' B2 U F R U' L B' F2 R' U' B' U'","0",""
"333","Normal","17250","1641895541448","R' L F U2 L' U' D2 R U D2 R2 B2 U R2 B2 L2 F2 L2 D2","0",""
"333","Normal","20670","1641895583392","B' U L' F B2 D B' D B' L2 B2 U D2 B2 D' L2 D' F2","0",""
"333","Normal","17570","1641895615815","B R2 B' D2 B' U2 B2 U2 L' U2 B R2 F2 L D2 L' U B R","0",""
"333","Normal","26980","1641895660779","F2 L2 B2 F' D2 L2 U2 F' L2 F L B2 R F' U' L' U2 R' F' U2","0",""
"333","Normal","19570","1641895700345","B' R2 U2 F' U2 F' U2 F2 U2 B2 U2 L' R U F' D L B2 R' D' R","0",""
"333","Normal","25320","1641895745885","D R' D F2 B U' F' U2 R U2 R2 B2 U' F2 B2 L2 F2 U2","0",""
"333","Normal","18390","1641895786532","B2 R2 F2 B2 L U' B2 D' R' F' B2 U2 R D2 B2 L2 D2 R D2 R'","0",""
"333","Normal","20760","1641895824992","R B2 R2 U2 F2 D2 R' F2 D2 U B' R B L2 B L' R' D' R'","0",""
"333","Normal","19730","1641895858203","F D2 L2 U2 B' D2 F L2 B2 U2 R B' U R B' U F L U L","0",""
"333","Normal","22800","1641895910791","L2 D2 R2 F L2 F' L2 B' D2 F D' B2 D R' B' F U' L D2 B","0",""
"333","Normal","19080","1641895949169","R2 D2 B' F2 R2 D2 B D2 R2 D' U R B' F2 D2 U2 R U' L","0",""
"333","Normal","19020","1641895982897","U' F2 L F' R2 F' U' D' F' L2 B' L2 D2 B L2 F2 R2 B","0",""
"333","Normal","21420","1641896027272","B U' F' B2 U' R' F2 R2 L' U F2 U2 L2 B R2 B U2 D2 B' U2","0",""
"333","Normal","18540","1641994708756","L2 B2 D R2 F2 U2 B2 R2 U2 L2 D' R' D' B D' U B' L2 R D U","0",""
"333","Normal","25990","1641994754516","L' F2 L R' B2 L' F U2 F L D2 B' D' B' R2 D' F'","0",""
"333","Normal","26620","1641994805444","B' L' D B2 L' D2 B D R F' U R2 F2 U' F2 D F2 U2","0",""
"333","Normal","19540","1641994867040","U' L2 F2 U2 R2 F2 U R2 U L2 U' L' B' D' U R' F L2 U2 B2","0",""
